platform|account|product_type|brand_name|marketing_strategy|message_type|message_content|sentiment|characteristics_composition|characteristics_language|characteristics_date|characteristics_tone|characteristics_slogan|characteristics_hashtags|characteristics_warnings|characteristics_location|characteristics_colors|characteristics_people_number|characteristics_people_age|characteristics_people_gender|characteristics_product_placement|characteristics_indications_advertisement_CH|characteristics_other|engagement_metrics_likes|engagement_metrics_comments|engagement_metrics_shares|engagement_metrics_views|engagement_metrics_followers|image_file
unknown|unknown|cigarettes|Marlboro|product placement|lifestyle promotion|casual, relaxed setting with coffee|neutral|static|english|unknown|casual|unknown|unknown|unknown|indoor, possibly a home or cafe|warm tones, browns, oranges|0|unknown|unknown|foreground|unknown|presence of a lighter and oranges, creating a cozy atmosphere|unknown|unknown|unknown|unknown|unknown|1.jpg
unknown|unknown|cigarettes|unknown|product placement|lifestyle promotion|association with leisurely breakfast|neutral|static|english|unknown|casual|unknown|unknown|unknown|indoor, possibly a home or cafe|brown, white, red|0|unknown|unknown|foreground|unknown|The image features a cozy breakfast setting with croissants and a newspaper, subtly including cigarette packs in the composition.|unknown|unknown|unknown|unknown|unknown|14.jpg
unknown|unknown|nicotine pouches|Velo|direct advertising, lifestyle promotion|health allegations, product plus-value|You've got Velo|positive|static|German, French, Italian|unknown|inspirational|You've got Velo|unknown|Dieses Produkt enthält Nikotin und macht abhängig. Ce produit contient de la nicotine et crée une dépendance. Questo prodotto contiene della nicotina e crea dipendenza.|mountainous area, possibly Alps|blue, white, black|1|25-35|male|foreground|warnings in multiple Swiss languages (German, French, Italian)|The image features a young man in a casual, outdoor setting with mountains in the background, emphasizing an active, adventurous lifestyle.|unknown|unknown|unknown|unknown|unknown|9.jpg
unknown|unknown|cigarettes|Marlboro|events, brand extension|lifestyle promotion|Don't be a Maybe|positive|static|english|unknown|inspirational|Don't be a Maybe|unknown|unknown|event venue|purple, black, white|1|unknown|male|background|unknown|DJ booth branding|unknown|unknown|unknown|unknown|unknown|20.jpg
newspaper|unknown|cigarettes|unknown|direct advertising|health warnings|Rauchen fügt ihnen und den Menschen in ihrer Umgebung erheblichen Schaden zu. Fumer nuit gravement à votre santé et à celle de votre entourage. Il fumo danneggia gravemente te e chi ti sta intorno.|negative|static|German, French, Italian|unknown|serious|unknown|unknown|Rauchen fügt ihnen und den Menschen in ihrer Umgebung erheblichen Schaden zu. Fumer nuit gravement à votre santé et à celle de votre entourage. Il fumo danneggia gravemente te e chi ti sta intorno.|unknown|yellow, red|0|unknown|unknown|foreground|The warnings are in German, French, and Italian, indicating targeting towards a Swiss audience.|The image includes a sausage, which might be used metaphorically to discuss health impacts.|unknown|unknown|unknown|unknown|unknown|41.jpg
unknown|unknown|heated tobacco products|IQOS|product placement|brand visibility|IQOS logo prominently displayed inside a bar|neutral|static|unknown|unknown|casual|unknown|unknown|unknown|indoor bar|brown, red, white, blue|multiple|unknown|unknown|background|unknown|The image shows a bar setting with the IQOS logo visible on a digital display.|unknown|unknown|unknown|unknown|unknown|3.jpg
unknown|unknown|cigarettes|Chesterfield|giveaways, direct advertising|product plus-value|Finde ein 100% WIN Päckli und wähle deinen Preis aus|positive|static|German|unknown|promotional|100% WIN|unknown|unknown|unknown|orange, white|0|unknown|unknown|main element|unknown|The image features a pack of Chesterfield cigarettes with a promotional message encouraging viewers to find a winning pack and choose their prize.|unknown|unknown|unknown|unknown|unknown|19.jpg
unknown|unknown|unknown|unknown|unknown|unknown|unknown|neutral|static|Chinese|unknown|casual|unknown|unknown|unknown|unknown|brown, green, white|2|unknown|unknown|unknown|unknown|The image features two people having a meal with soup and beer, reading a newspaper.|unknown|unknown|unknown|unknown|unknown|12.png
unknown|Lucky Strike|cigarettes|Lucky Strike|lifestyle promotion|health warnings|Rauchen fügt Ihnen und den Menschen in Ihrer Umgebung erheblichen Schaden zu. Fumer nuit gravement à votre santé et à celle de votre entourage. Il fumo danneggia gravemente te e chi ti sta intorno.|neutral|static|german, french, italian|unknown|serious|FORGET REALITY, ALWAYS TRUE|unknown|Rauchen ist tödlich|unknown|yellow, brown, blue|3|20-30|male|background|yes, warnings in multiple Swiss languages|unknown|unknown|unknown|unknown|unknown|unknown|36.jpg
Instagram|moiramusi0|nicotine pouches|Velo|influencer marketing, lifestyle promotion|lifestyle promotion|#youvegotvelo #veloswitzerland #velo #lovevelo #itertrip #onlygoodvibes Paid Partnership with Velo|positive|static|English, German, French, Italian|December 22, 2022|joyful, energetic|unknown|#youvegotvelo #veloswitzerland #velo #lovevelo #itertrip #onlygoodvibes|Dieses Produkt enthält Nikotin und macht abhängig. Ce produit contient de la nicotine et crée une dépendance. Questo prodotto contiene della nicotina e crea dipendenza.|beach|blue, yellow, green|2|25-35|female, male|unknown|warnings in German, French, and Italian|unknown|400+|unknown|unknown|unknown|unknown|22.PNG
