img_names,tobacco_product,type,main_elements,tobacco_product_true
10.jpg,No,NA,"box labeled CBD hemp supplement, slate surface, plant",No
11.jpg,Yes,cigarette packs,"person, dog, armchair, coffee table, tissue box, cup, snack, cigarette packs",No
24.png,No,NA,"person, wall, text overlay, jeans, TikTok interface",No
26.png,No,NA,"person, car interior, steering wheel, dashboard, trees outside window",No
instagram_lacasa.png,Yes,"cigar lounge, cigar advertising","bar counter, bar stools, bottles, red lamps, shelves",No
12.png,No,NA,"bowls of noodles, chopsticks, beer bottles, newspaper, hands, wooden table",No
james-adams-dfoK0qs1AsE-unsplash.jpg,No,NA,"hand, smoke, smoke canister",No
41.jpg,Yes,"cigarette advertising, cigarette, tobacco brand logo","cigarette, Parisienne logo, text, people, article, magazine page",No
2-bro-s-media-LfUXV5gMDfs-unsplash.jpg,No,NA,"matchstick, smoke, dark background",Yes
mehrab-zahedbeigi-EaBqqyOAuqQ-unsplash.jpg,No,NA,"person, sunglasses, street, trees",Yes
ike-ellyana-oOs72WMT5sA-unsplash.jpg,Yes,"person smoking, cigarette smoke","person, smoke, dark background",Yes
instagram_airpodscases.png,Yes,"cigarette packs, tobacco brand logo, cigarette advertising","airpods case, two boxes resembling Lucky Strike cigarette packs, table, wall",Yes
6.jpg,No,NA,"two people, two cars, painted columns, underpass, trees",Yes
22.PNG,Yes,"cigarette, person holding cigarette","woman in yellow bikini, man with beard, beach, sea, blue sky",Yes
